compound_name,MARS_C03_000m_1,MARS_C03_000m_2,MARS_C03_000m_3,MARS_C10_000m_1,MARS_C10_000m_2,MARS_C10_000m_3,MARS_C12_000m_1,MARS_C12_000m_2,MARS_C12_000m_3,MARS_C15_000m_1,MARS_C15_000m_2,MARS_C15_000m_3,MARS_C18_000m_1,MARS_C18_000m_2,MARS_C18_000m_3,MARS_C21_000m_1,MARS_C21_000m_2,MARS_C21_000m_3,MARS_C25_000m_1,MARS_C25_000m_2,MARS_C25_000m_3,MARS_C29_000m_1,MARS_C29_000m_2,MARS_C29_000m_3,MARS_C34_000m_1,MARS_C34_000m_2,MARS_C34_000m_3,MARS_C38_000m_1,MARS_C38_000m_2,MARS_C38_000m_3
FFA 18:3,354764415.7,321953095.9,348793886.3,1125472733,948030752.2,1213535396,158391237.1,169490661.2,144308580.8,360487972.4,380325798.2,376832377.8,291564166.8,116490011.5,76251001.7,625886432.8,669747234.7,647740118,34485766.23,31108357.96,35020976.59,15890310.27,17115246.25,17158506.62,12315333.5,14488843.94,14264883.76,71182850.26,64001306.84,67602924.1
FFA 18:4,870102709.3,752255284.9,784866954,2884250928,2474608821,3047493489,419228641.1,457417212.6,355323184.4,819068218.9,833004365.1,837365337.8,730928232.6,353611230.1,242382209.9,1474261147,1684702110,1535866214,83093860.37,68828989.99,76813347.78,30994742.38,35777346.51,33409414.82,26853479.64,28171266.44,28853749.85,120817913.9,115295784.3,114905536.3
FFA 18:5,480747455.2,431938896.9,458020902.7,1175939.97,894793.42,1667075.56,293910462.9,323062464.6,275455383.1,2192214.37,2046219.53,1741542.41,738374878.4,279365.31,280738.99,991981635.7,1112780950,1112394399,266192.36,202650.61,87986.37,23357.75,61142.39,70286.41,0,49366.8,42170.57,0,0,0
FFA 20:0_RT:733.598,88324499.44,80605290.03,81741769.27,268113263.5,201180985.5,277398560.3,60596317.43,63814351.13,51782777.84,175485601.3,182799136.4,201911483,152225486.4,62791025.18,50991553.97,216720472,159524783.4,159978489.4,9109408.15,7697554.93,4290531.36,0,0,0,0,0,0,17910340.83,16843162.3,15247861.83
FFA 20:1,41819808.76,38262084.55,38999258.92,83958383.8,73319303.01,112507332.8,14227081.26,16890215.32,13903709.15,25403445.91,26799637.49,45230076.29,31469057.07,7030388.45,6545811.37,45365401.21,43069849.74,44140983.64,2655810.84,2308564.29,3148757.23,492804.96,97742.6,700543.44,493706.36,755583.76,445259.37,5391370.99,5924959.09,4718848.2
FFA 20:2,14115274.86,13326495.35,12938389.54,35628438.47,31661907.41,38744966.03,6864217.82,6983978.2,5955203.82,13513102.62,15302867.04,14361397.32,10520483.99,5790535.78,1147607.32,19650945.61,18756981.98,21117522.96,1654605.97,1394247.51,1695281.11,717086.96,819714.37,772715.84,728510.43,786339.77,843841.18,2626098.1,2653345.1,2096940.22
FFA 20:3,30523500.03,29202029,29289659.75,140703603.4,117835142.6,143970679.5,12135293.41,13656591.45,11064237.92,36082811.46,36238716.03,37422582.81,24259937.38,12141533.98,8395212.18,99164022.6,95151376.43,97410308.34,4608563.78,4069686.81,4468122.72,1459758.75,1652688.46,1508415.53,1963942.53,2262081.3,2343431.46,9575939.4,9061766.66,7922984.85
FFA 20:4,180383540.4,168900591.7,179198929.6,533486630.8,478934313.5,592295232.9,65136450.21,72455268.18,58318425.31,157853053.7,169456631.4,172574382.3,132283200.9,1297206.11,1094728.71,394344565.7,437260729.2,405854781.7,32731042.48,26431307.2,31578011.12,6195411.68,6745573.15,6645865.83,9886531.73,11647448.77,11347422.41,892723.61,585450.19,637894.65
FFA 20:5 +1O,131591448.6,115304606.3,122721791.7,485858461.9,454682354.5,551410058.3,72314742.08,77171970.68,63453581.88,98108578.22,1898003.16,3647565.91,331745209.9,60329720,47479446.02,308979844.1,281636408.5,313744665.8,31998543.8,790869.54,796374.64,5987731.3,6525099.06,5985335.06,3490439.03,3789827.7,4098872.52,10857396.55,10822036.69,340956.74
FFA 20:5 +2O_RT:124.363,32572083.9,27300434.65,30916668.75,129523341.6,105080662.5,128683580.3,17689297.74,20145264.96,18470744.2,28576123.69,28333314.8,30216595.38,66089925.27,26110928.51,21224966.13,50662461.9,49189949.31,51691406.12,3639683.52,11572860.06,13523800.89,961386.07,1090968.64,1250546.5,598859.31,714446,735548.99,12033837.62,6908796.97,11056982.42
FFA 20:5 +2O_RT:143.622,53192694.86,49171724.56,111551553.7,118926608.5,98544866.71,132281856.5,66285246.72,23023522.45,21738583.93,29586052.32,91874458.41,90940888.43,60881403.48,24507427.4,6855469.92,78835594.32,79531693.68,81223656.43,4748127.6,7252312.87,8609796.57,1605037.27,1898082.58,1026806.03,1794921.34,2121804.31,2153387.52,3610126.33,3264852.99,3463788.58
FFA 20:5_RT:423.627,5915668198,5221872634,5416800921,20823585083,17650217328,22035271833,3260911302,3447017031,2845759107,9118752121,9145938033,9375246557,8029839888,4060983969,3248407363,10641095117,11676446154,10418994644,759280539.4,677387070.3,736481754.1,347738763.5,388919305.9,372150877.5,266496071.3,305441814.6,308784267.3,944589453.4,853701816,903128678.3
FFA 22:0,87291876.87,82563719.38,82613291.08,349355095,283415225.5,366140817.2,83124753.91,81159470.23,68675014.67,244662912.9,245941267,248122078.6,214427908.6,107433009.9,88925628.11,246191186.1,231029456.7,232828600.3,11497181.79,10638553.33,12363324.73,2394404.07,3358090.19,3704820.34,3349816.14,4709943.76,4388046.07,30690678.72,25773315.12,24774905.59
FFA 22:1,115934561.1,112357720.5,113727244,315905689.6,264212671.1,327145670.2,52238709.46,52956973.65,46649459.98,146371116.2,144469468,150073047.5,111901196.6,57361808.22,51724511,235253694,225627694.8,238621122.4,13753527.43,11982840.82,14214303.99,2015953.93,2274010.49,2125144.55,4004926.81,4914070.79,4851711.96,17950662.16,17499720.01,16138442.98
FFA 22:4,10997188.27,11348740.03,10340232,26858096.87,21153804.77,23576509.49,3033871.27,3081613.04,2952561.1,5613780.27,5916429.1,5909061.95,5342576.84,2582513.17,2080231.13,13408412.47,12834646.52,12613171.15,793886.18,706967.55,897272.7,231963.47,268387.14,268134.07,268352.89,333512.12,319185.76,430382.77,1015673.24,258310.75
FFA 22:5_RT:506.86,75354080.65,74777014.93,70663416.47,255662111.7,208806332.1,259418490.3,31707381.64,34986540.54,29869063.75,87390797.86,90676031.39,90233190.15,61373047.74,11844876.11,9445543.46,156494627.6,158962593.4,167886595.6,9200710.82,11942214.27,9457439,4317367.5,4658585.02,4627196.73,4650941.64,4922793.13,4105789.9,18575213.15,17048935.72,16559210.46
FFA 22:5_RT:536.511,35485064.6,31659267.03,34667575.69,494509.16,174238.36,1197788.48,15714703.4,16921791.11,12907630.01,26338697.19,26725246.59,26280077.6,23162999.58,30304.45,0,66123731.08,54453923.68,56035091.04,3617821.35,3363153.77,3730695.19,1379351.8,1575292.31,1433497.43,1320456.47,1392218.22,1460639.48,27706.04,0,0
FFA 22:6,4529796046,4059009294,4341664114,16100257734,14827547878,17467055161,3851810632,4131563872,3365688652,9785593810,9612977993,9780158134,9453985503,4703925676,3669835843,12279114828,13939034121,12258059951,1045279603,953745588.2,976948376,551775240.1,621066945.1,592608464.1,368545071.5,421033924.7,423032861.7,976740492.6,888496702.5,877096985.9
FFA 22:6 +1O,103660493.2,89159463.45,95118683.69,616303535.9,487401838.1,367827176.2,119394071.6,80275573.33,67024769.32,107961046.9,111337796.3,108606038.6,194405870.1,46098396.76,851664.14,360247494.7,289456817,281336930.2,24218098.73,12903948.66,14043238.86,6886347.61,7504384.68,7479589.81,3821136.64,4302927.92,4395182.28,8936687.29,11336513.97,8574695.55
FFA 22:6 +3O,635504417.5,572682647.8,616600176,1670164761,1286099465,1836350167,151672785.3,152742089.8,138871177.6,220636537.1,215308618.5,216189005.5,157032700,78133553.25,84876877.45,407747427.8,349545383.2,391919872.8,9911471.81,8942389.98,9477829.27,1571124.43,1775778.56,1584175.46,1976976.22,2275502.24,2388596.26,8824018.65,8176104.09,7242975.23
FFA 24:0,97455298.89,97948486.98,102663474,388919731.9,338415129.7,431255762.9,72741246.83,68371451.63,63958557.76,200138121.5,217448155.4,217731952.9,173965946,91652262.79,87833234.58,220755065.7,211118979,220288604.8,15547507.17,20191674.65,22218106.15,179043.52,2385212.21,2469450.42,3095915.24,6113940.1,4394174.92,56084937.3,50056668.42,44568034.25
FFA 24:1,45555306.81,42837783.91,43947399.3,122731827.6,100368604.2,135764030.2,19191125.91,18360768.59,16280719.12,50540247.14,50968080.35,51588056.66,34920470.42,20404468.54,15849462.18,52067452.45,46854877.12,52295355.48,5084820.04,5014970.83,5641918.48,2112561.19,2147879.64,2253213,2141591.88,3221398.76,3042216.24,8582482.49,8294317.8,7775734.07
FFA 26:0_RT:905.069,59409807.56,56769727.52,61727331.84,239815252,192941705.4,258082047.4,18565381.29,18711665.05,21929381.62,84474031.42,72098911.43,90332359.7,59458636.63,39617253.36,36954870.3,93881410.43,88072491.92,94572864.73,8054610.88,10302976.45,13894743.51,0,0,0,0,1387700.44,354647.94,36538387.98,33919401.78,30369738.74
FFA 26:1,17090907.95,16471880,16828347.76,43258367.56,37155806.11,52448382.34,5944440.67,5867444.37,4855868.54,18042807.09,18739523.12,20187437.98,10890963.32,7699693.89,5865373.44,15744170.73,15349604.98,16205536.35,2329246.77,1699983.6,2123271.09,148967.81,286673.51,865296.52,283928.03,594597.61,506608.72,6025003.47,3357616.96,7954895.33
Fuco,4579995056,4301190763,4010488567,9899488323,9399800126,9468289021,1144444231,1095690168,1224625659,2462159155,2297766354,2109152124,1131052642,1970229704,1216765056,3531765027,3881004545,3128482823,894201709.4,1146385025,889037608.1,103909427,130045623.6,108770161.9,96101446.01,89666272.61,87962492.15,302587852.8,309768826.4,381075767.9
"LDGCC 10:4,LDGTS_DGTA 10:4 +1O",632995.76,1003919.67,707754.34,2087276.33,1768630.11,2292732.53,209692.17,90837.53,102516.37,1214334.34,1196872.44,1044880.18,483149.74,258384.02,353725.44,806281.89,752985.77,770771.45,392834.93,254926.36,410675.3,0,0,0,0,0,0,36013.58,0,65011.67
"LDGCC 12:2 +3O,LDGTS_DGTA 12:2 +4O",3891052.12,4563598.71,4910530.03,16857337.69,13757181.53,14457445.83,1355353.94,843203.6,1359752.12,9507450.46,8431477.77,7187505.8,2348188.47,2132773.65,2082468.6,7159905.77,6502980.9,5982889.71,2896094.89,2109439.96,2613295.54,0,0,0,0,0,0,0,50862.12,9303.37
"LDGCC 12:3 +2O,LDGTS_DGTA 12:3 +3O",2866614.75,1233332.13,2032041.04,6852172.39,6696202.43,7069306.71,346418.99,102772.61,559406.53,4020580.64,3485655.9,3474317.95,682000.49,865950.78,263288.94,1991113.24,4045564.41,2762507.49,2265002.77,2475676.11,2132107.5,0,65369.22,0,0,0,0,0,0,51812.98
LDGCC 14:0,2836890.71,3089191.01,3224407.49,15483653.91,13372520.9,13397770.18,3645197.43,3278886.24,3461984.09,15855633.95,13916801.25,13846168.08,12107925.78,21301302.44,14078255.1,8023428.54,8152311.7,7739770.43,6242870.85,5179154.68,6737476.95,3153740.56,4082568.89,3703645.27,1537458.9,1773246.77,2114300.22,2879794.15,2776981.35,3402970.22
"LDGCC 15:2 +2O,LDGTS_DGTA 15:2 +3O,DAG 22:3 +4O,LMGDG 16:3",59456923.39,52135754.31,53779235.73,69705224.12,66953198.31,69879678.53,9760110.77,8241592.03,9035667.93,11084291.63,10437812,9107493,10472165.01,21629286.03,10014726.91,12198576.13,11977681.76,10681350.64,6029965,4847007.87,6026459.14,759089.73,877425.69,838649.87,500691.61,574220.87,654001.96,2663049.22,2951362.62,3443488.54
LDGCC 16:0,104702189.1,98891722.9,102555005,443911598.9,433442080.7,441732744.1,105776297.4,106751584.1,105344904,423305474.8,406661866.6,363977950.4,316354587.6,529545236.1,340427535.9,310809994.2,319999120.4,308918241.2,248966755.6,196564774.3,268357132.2,111973234.4,131062079.6,116158421.1,56628951.09,65581883.61,68162732.61,60588570.95,59997751.13,71245479.46
"LDGCC 16:1,LDGTS_DGTA 16:1 +1O",53474814.9,47806816.13,50730868.74,19748927.67,18683995.61,19105032.96,7845847.24,3445505.81,6299755.61,5474302.26,4788861.56,3699519.44,3192723.42,4923256.88,4897932.98,3421144.71,3077142.31,1941910.69,1636855.13,1333619.62,2566812.06,262504.33,732566.93,962595.31,135391.03,266846.16,1427558.23,126492.19,255259.51,503479.55
"LDGCC 17:1 +1O,LDGTS_DGTA 17:1 +2O,DAG 24:2 +3O",3030269.58,2458458.41,2446109.16,4810457.54,3705822.75,4300248.1,409447.53,289408.33,373071.23,1706640.51,1739968.04,1674908.59,306997.29,328847.39,324924.48,1511792.99,1276530.45,1165869.49,2742976.11,1786615.65,2049483.82,484095.15,753979,677642.61,284442.43,324014.62,576933.65,158588.55,119397.47,240920.62
"LDGCC 17:1,LDGTS_DGTA 17:1 +1O,DAG 24:2 +2O",5116125.63,3691875.52,4350890.1,16512371.37,14001442.41,15747125.66,1799847.8,1317010.97,1769075.86,8947396.78,7529361.16,5968466.94,2920026.9,2519925.31,1922555.01,4782213.35,5188652.78,3951608.65,2296150.35,2105308.02,2903830.89,0,0,206117.53,0,0,0,735127.65,558302.73,858258.15
LDGCC 18:0,10529986.12,9799929.26,9873803.45,43461716.08,41643677.99,41281176.48,10731191.47,10748514.43,10190073.39,47587280.26,48645343.98,44441105.47,28806017.67,50660599.39,31923409.08,24331147.98,24417628.92,23642603.84,21333114.12,19910287.94,22644193.17,11011755.27,11956375.22,10681734.82,5296468.67,5367621.63,5509438.75,4230291.85,4350234.95,4900478.75
"LDGCC 18:1 +1O,LDGTS_DGTA 18:1 +2O",115324654.5,107558324.9,106698184.8,44002586.06,37905616.46,40141414.96,9181931.54,6002393.18,8580476.95,11039081.37,9944586.46,8098452.32,3333450.9,6532630.38,5822400.84,5297763.68,5860170.75,5211832.93,2237040.56,1875543.58,2424039.92,444398.4,664103.1,538276.83,175021.26,158590.17,879011.52,271679.16,331263.37,584179.09
"LDGCC 19:1 +1O,LDGTS_DGTA 19:1 +2O,DAG 26:2 +3O",4612086.77,4041428.85,3195367.04,19791441.28,20187551.57,19174577.31,1949658.44,2898221.19,1727683.13,6842871.53,6221615.61,5180596.55,2765195.53,1980213.38,1839186.24,4854218.32,4464329.93,3885362.84,2958539.74,2923856.52,2736973.26,0,312885.35,173030.85,0,0,0,843151.02,816306.55,936272.86
LDGCC 20:5,9425468.51,9852842.28,10275693.68,30758658.92,30551263.73,31353369.4,6820265.4,6238457.37,6666755.78,14403185.73,13073446.26,11804785.88,18156272.27,22883760.53,14386835.76,14104663.66,15234992.03,12668118.95,10234153.57,8509784.54,10482435.2,1877640.69,2414767.14,2207947.32,1393198.57,1601439.94,1882206.42,2936933.32,3200470.67,3606189.96
"LDGCC 21:1 +2O,LDGTS_DGTA 21:1 +3O,DAG 28:2 +4O,LMGDG 22:2",3885786.05,2749756.57,3542035.36,19033942.44,17643973.43,20329757.56,1737740.11,1551243.44,2015449.33,6083682.44,5861152.29,4239909.98,2794568.71,2428047.42,1843396.83,5159583.9,4004485.41,2927306.34,2817360.19,2692926.02,2780977.57,320567.66,579179.58,495021.17,0,0,0,576928.73,816960.46,988295.84
LDGCC 22:6_RT:4.0,213517639.1,209274568.8,212804792.1,1015499539,1047321407,991404904.1,159626534.6,148941087.6,165118902.1,734549563.1,727854307.5,650914482.4,345373273.2,583910714.2,411325303.1,398058869.8,407716031.5,373107645.6,337160111.6,396799881.8,365839216.6,104493859.6,134711697.7,130262489.1,44004647.73,48518667.73,58556355.35,70150836.42,76913470.07,82003024.36
LDGCC 22:6_RT:4.33,134240918.1,109491367.9,104119431.2,794031798.3,609566250.9,713234639.3,127764609.3,119061081.1,127787600.4,612891550.7,631512311.1,535726731.7,294320170.2,488315953.9,329018893.9,361347892.2,385707068.2,349793459.4,164504289.1,152478882.9,137233398,61581783.71,81268107.87,74806430.45,25885489.96,27072004.77,33177843.07,40683276.95,42538831.56,44981468.83
"LDGCC 25:1 +4O,MGDG 26:1 +1O,LMGDG 26:2 +2O",3146001.61,2460061.46,2019248.14,15479414.42,13400640.01,12068743.77,1105077.59,961951.26,1127726.49,2222874.85,2132076.56,1962016.27,1132427.73,1075664.78,967191.23,2504763.08,2523091.57,2444031.36,1545741.51,1543390.93,1581285.04,284611.05,376253.23,267772.51,0,0,0,480403.68,522256.91,615611.6
"LDGDG 16:4,MGDG 22:4 +4O",427058.39,307655.37,0,727980.97,1091997.75,564308.68,149427.02,91224.88,54066.13,613902.59,1468962.35,1082060.73,0,175293.84,359229.16,728631.23,493091.24,260740.91,1417262.18,14325064.76,1167502.36,352061.81,217886.65,81117.83,1376999.24,828758.95,260699.83,0,0,0
LDGDG 18:5,17776733.52,17055227.37,17888024.03,102067940.2,94682175.73,100441138.3,30019315.96,26973925.25,28901250.09,59079168.63,37452251.16,32776715.19,81777376.4,202606486.1,89413913.92,52906003.86,51868293.92,44141420.53,12740897.9,11629624.44,12850444.75,5962472.45,7589756.35,6569333.7,1998738.96,2046417.7,2243398.47,5705042.39,6202003.09,6639890.04
"LDGDG 20:0 +3O,SQDG 30:4",5670489.14,5435147.15,5736371.53,7232743.87,8097164.64,6902739.61,842881.05,966635.28,1020376.18,1588268.52,1618261.65,1413260.3,1445838.42,2267791.08,1087113.63,2593283.97,3156599.21,2935483.72,1408355.54,1202454.61,1254614.96,306631.41,335288.32,281979.32,419582.11,447043.7,526825.92,926837.46,1050082.58,1231238.2
"LDGDG 20:1,MGDG 26:1 +4O",6792755.89,5547016.55,4365588.02,3536494.33,2889023.18,16115479.59,275085.58,335690.81,1513373.27,4403688.43,1729068.28,1346884.58,1092260.04,2240745.94,854551.02,3698202.84,5431899.87,5910615.51,0,707789.94,1196439.03,0,0,0,0,0,0,699481.28,929229.36,551349.6
LDGDG 25:0 +2O,5591130.17,6120046.33,5456442.83,21018253.29,20733521.26,17953607.79,2910265.31,4168861.98,4520626.99,7489060.73,7278859.24,5684984.19,2348573.36,9036767.24,2411627.24,11190296.28,1762513.18,8008994.56,7642095.43,6047999.92,6836623.65,4142541.42,4826438.59,4576648.24,2880425.03,2846590.34,3267081.27,7316085.72,7032669.03,7509009.72
"LDGDG 26:1,MGDG 32:1 +4O",206102.6,0,165913.92,4034952.41,4444179.01,3815550.1,67317.47,0,52089.26,281885.15,109995,142874.11,695159.3,298407.73,650430.45,359007.08,156590.93,249292.55,302420.52,391533.65,337842.62,142506.93,164134.64,149167.28,24696.76,27070.84,39382.97,131820.87,125677.01,55394.03
LDGTS 22:6,113543772,108158406.6,110674907.1,379902099.1,342608880.6,370672863.7,48473788.17,42998903.23,48309867.26,128873762.9,129730706.9,111680698.1,93754983.14,122301204.3,81098828.64,183870201.7,189729065.9,170284144,96190095.68,91274683.58,81902038.12,20635365.22,26839439.91,23646229.7,11486637.29,12195779.15,14237448.79,34038232.92,36692716.97,38939071.12
LDGTS_DGTA 10:4,6814067.19,5055096.44,2633265.87,13011194.98,20174406.48,11923253.13,2710450,864417.59,906204.62,5380056.21,5471989.3,4180066.85,1634042.01,2665938.78,2348575.68,6547225.32,6908062.54,5175192.96,4328478.19,1070986.02,1228568.63,0,0,0,0,0,0,0,23732.15,271125.3
LDGTS_DGTA 14:0,10676579.62,9839345.85,9969711.74,35544713.3,31717503.16,34252199.71,4654007.14,3579847.5,4698681.11,8131260.01,7108574.11,6867020.45,7680446.62,8661514.57,6234317.23,15238040.3,13947446.71,14514097.87,6170997.45,6984916.85,6289587.35,1526808.51,1909868.12,1782702.73,1671404.69,1738989.28,1828592.83,2965434.27,3306726.32,3616256.26
LDGTS_DGTA 16:1,16444321.89,11019266.76,11658473.17,54034376.82,47483586.63,48378834.6,8549549.93,6760212.71,7066028.98,10587589.04,9788572.01,9153643.62,12495975.57,16749588.87,10913915.46,16124525.85,23030277.43,15491269.07,11271865.06,10307896.25,11452250.17,2591005.61,4080553.85,2874662.48,1927313.18,1992425.46,2412848.47,4801089.89,6048010.54,6599217.12
"LDGTS_DGTA 17:0,DAG 24:1 +1O,MAG 24:2 +2O",126016.69,0,0,1020392.32,72737.77,204848.24,629783.03,555633.16,564930.37,7797818.6,7241784.43,6596352.01,142645.79,0,22379.07,0,296547.15,702167.48,1990965.84,4263354.2,1984670.35,124907.5,113157.31,275680.15,289593.21,245490.28,119040.57,0,3446.11,81127.67
LDGTS_DGTA 18:3,9761906.06,6147438.18,6374853.65,32213252.17,28294903.28,31381622.53,3436699.05,3293899.34,3863332.79,8462839.37,8651776.32,7001956.32,7382414.05,12806283.37,7700607.46,14626409.3,11820482.35,11443777.26,6963016.78,5970412.78,7400840.84,1426884.9,1813360.88,1632098.86,789256.35,882344.7,1067188.85,2075293.16,2384150.89,2569008.43
LDGTS_DGTA 18:4,28915406.05,26250471.64,26131607.97,166415658.6,154014499.9,155533515.1,16868755.31,15766900.96,16979653.46,39253717.67,37394441.05,33022759.57,32406077.96,50690772.12,32287887.87,50276373.6,49236674.43,43586601.96,28867540.42,26184489.32,29297923.5,6999465.53,8875684.52,8012125.46,3445885.79,3767320.12,4308927.44,10528711,9787296.78,11356303.44
LDGTS_DGTA 18:5,17890865.32,16649095.82,17112041.31,218029357.1,189133865.5,194992795.4,26655438,24038975.46,27795480.02,33898838.29,32847252.37,30388808.29,64278832.78,98401321.2,64968554.68,52219966.52,54046517.74,46457459.32,36104474.36,33402362.09,36307298.03,2993054.24,3658396.68,3259958.28,1169901.42,1176920.45,1192156.35,5534636.27,5846049.29,6409523.35
LDGTS_DGTA 20:5_RT:11.06,754310.64,568812.47,1039649.37,1492126.4,936491.79,1162081.17,5083674.6,4369045.17,4497715.78,8931274.08,8616843.58,7441045.06,246434.61,676942.27,135216.78,550214.77,1397456.7,566944.57,475445.14,5311893.16,6170517.96,845358.91,1281695.95,1149530.22,802778.86,817391.23,233172.27,1415391.39,1321777.59,1676175.43
LDGTS_DGTA 20:5_RT:3.58,46935002.99,44336471.61,45980432.43,189010877.1,169257899.8,182713443.4,25981100.61,23290764.27,26163173.07,52225723.1,48541386.22,41311112.53,48043374.95,72033711.5,47757057.7,67387423.85,67401741.93,58002816.89,42907890.12,37093769.38,42196616.89,6331055.71,8153828.83,7499337.08,3677183.05,4005647.03,5131507.13,10564045.61,11688085.47,13285427.34
LMGDG 16:0,21336573.56,19502254.38,19212813.77,102036251,88126774.06,95982060.82,6252682.23,5883986.75,6706411.68,32178506.4,799760.76,27253350.29,7494532.43,16240570.82,1007717.26,45346483.26,44951441.17,39431135.32,5894920.97,6275202.06,6089583.08,2043856.65,2145884.2,2106089.29,1174941.57,1161788.35,1174110.78,5239424.65,5602892.46,7587194.06
LMGDG 16:1,69451540.5,62008394.06,61785004.43,174145125.2,155704220.7,169074133.8,12067171.83,9821217.78,10845731,23231536.39,21924858.12,18725594.62,9587404.46,21593921.39,8753513.25,37881953.8,39145800.12,35204482.5,17770880.44,14928392.08,15231925.51,2260455.38,3461894.91,3079546.16,3521733.11,3816938.29,3608456.28,10736701.35,11508484.55,16449845.57
LMGDG 16:2,30215175.89,40656655.24,39870939.67,75354312.59,66997476.66,73396214.16,4817645.12,4578985.66,4952863.93,5029706.2,8336372.31,6613152.39,5342723.27,10415212.68,4084983.2,18606963.92,12885463.05,11395421.3,4649169.53,4101531.81,4157237.97,570244.84,703446.16,673238.73,438277.21,452710.04,602743.6,1831342.24,1823506.81,2944645.12
LMGDG 16:4,187444956.6,171456566.3,175613846.1,452364243.2,413096771.1,433446374.8,37966434.53,32797013.71,37125175.23,84427063.86,78504930.23,63519125.22,47269340.74,95659759.8,48526714.98,113559560.8,91977870.19,81248944.31,34027668.38,28520826.67,34023113.16,3627043.7,4594193.12,4194373.39,3443378.72,3805780.65,4293326.93,15433012.81,15768816.83,18516445.87
LMGDG 18:1,3817833.39,1381533.83,1528033.05,4491817.05,4171081.96,5132302.31,551377.2,618023.76,386238.23,9788148.84,10152118.32,8295336.99,2549657.22,948629.16,1790090.9,4331907.99,3214562.4,3215782.25,1160572.66,721467.19,1036380.68,224622.19,260510.43,227197.88,161327.41,167430.88,193896.47,1315003.04,1462877.57,1710726.29
"LMGDG 18:2, LDGCC 17:1 +2O",3436223.69,3223012.7,3603711.77,14703759.49,13634667.67,13544456.96,1348985.32,1149738.96,1146111.9,4617139.34,4428687.17,3887732,1256775.73,2927489.75,1208022.9,8002601.68,8537522.71,8470785.66,1669834.05,1301720.46,1366528.43,758355.09,729531.98,818907.93,283218.96,320996.19,349394.96,1066407.54,1110369.4,1308996.32
LMGDG 18:5,259513025.4,225788462.8,225920987.4,1001900215,950183358.9,1018192516,226177586.3,202133754,220836246.9,731123806.7,712711811.4,614327103.1,408988293.6,1047086983,400826746.7,570835196.5,565246358.4,502708397.1,108100127.9,92646776.04,107066145.6,37396787.98,46528939.58,41417959.36,12543080.22,13723171.61,14751306.66,38984647.45,39392071.08,50654602.84
LMGDG 23:0,413632.57,394798.45,418699.04,1915414.37,1823947.25,2027251.91,136300.15,296307.39,398608.41,563826.78,392766.1,468004.92,588203.7,793449.26,411610.72,806219.9,376852.27,498986.12,363012.26,488955.54,434996.78,35240.83,87588,53293.04,0,0,0,67244.8,51041.38,68722.75
LMGDG 25:0 +1O,578898.13,520771.56,589159.25,1853993.46,1538213.66,1707125.63,396114.42,370389.21,316142.08,536515.24,488441.97,486487.05,392663.35,634586.79,323569.57,783588.52,711120.78,48373.08,332397.47,421536.8,244151.18,25966.15,63267.11,62524.2,0,0,0,784.99,49674.13,51589.41
"LPA 20:0 +2O,LPG 17:0",38825154.31,36011419.19,35163318.95,27376234.44,23847788.01,23524854.62,24689608.5,22863822.6,26312756.82,8753164.51,7485752.21,7327395.62,7946047.02,73800837.8,15975615.85,73716271.46,62103533.47,46823518.82,920137.56,899863.21,893030.15,222607.09,269623.32,229908.09,128980.29,124410.26,128129.96,1307402.08,1479269.37,1393598.6
LPC 14:0 ,20029986.71,19772473.27,19256288.54,71104000.56,63155691.42,102220231.3,12632023.1,11969921.44,12067198.56,38364718.78,39540282.49,35129829.53,30992063.86,55213004.03,31916602.99,38261373.35,36959582.91,35549397.36,21584541.69,18989594.83,19953312.26,7089717.94,8668646.05,6239038.39,2970720.52,3083123.97,3591082.44,7084987.46,7294681.58,8459939.06
LPC 15:0,2614269.15,2862791.6,4758493.21,7992103.39,7433678.23,6867404.18,2328200.76,1786035.57,2109242.47,2847545.09,3563835.5,6143506.52,2099654.04,6309870.66,2626796.48,1608078.43,4100545.53,1474422.68,7036556.52,4260759.67,7027227.62,1857196.5,2301864.69,2240223.76,1233183.47,1278478.42,975503.39,2608934.24,774543.48,1103435.83
LPC 16:0,244385345.2,235290066.5,238403958.4,1210745950,1065831736,1137242720,205346258.1,206767370.1,209830353,622889471.4,619891952.2,564522421.9,555336057.5,864877623.9,570944061.4,874566272.4,882017811.3,858310603.1,382820330.1,362803377.8,392620982.4,154684337.7,185797337,167476210.2,76634554.03,83511196.46,80257932.89,135951413.3,138330594.1,145681419.1
LPC 16:1_RT:3.7,39620961.86,37207062.22,37069255.96,77717032.24,67188065.09,69284665.72,7651926.64,13260800.68,8130479,14385818.59,13973290.34,13347011.34,16960434.12,28600126.4,18507175.19,24598053.1,23254656.95,22230719.66,20823022.97,17435842.42,19934740.29,2175892.97,2686948.28,2453449.12,1700112.57,1852144.65,2107069.01,5504930.74,5520422.26,6196233.17
LPC 16:1_RT:3.99,13035991.18,11676470.99,12988526.29,25882632.65,24020667.81,25399345.63,6072357.21,5258943.22,5839725.89,14373370.77,14571417.45,13109420.37,9162494.47,17405907.32,9326309.99,16008191.55,16662015.21,14450055.17,10329244.65,9123754.78,10253225.63,2572427.65,3142711.73,3117594.81,1823794.41,1875353.09,2181217.75,4610745.46,4741523.72,5256480
